"功能需求
至少要细化到二级模块才可以进行评估",,,,"人员角色
根据模块实际需要添加或修改角色，项目经理每个细分模块至少分配1人天，交付能力系数为现有团队角色的能力评估，如评估时还没有现有人员作为参考，最小为1.5。",,,,,,,,,,,"调整因子
只细化到二级模块的情况下，范围因子最小1.5",,,"平均单价
（万元）","费用预估
（万元）","备注
（写异常因素及未考虑到的风险点）"
,(2) 碳资产管理,碳强度分析,系统支持碳强度分析，包括碳强度统计，以量化园区的碳排放效率。,0.4,0.5,0.3,0.1,0.4,0.8,0.6,0.4,0.2,0.7,2.59,1.39,1,0.9,0.16,0.5184144,
,(2) 碳资产管理,部门碳排放分析,系统支持按部门进行碳排放分析，以比较不同部门的碳排放效率。,0.4,0.4,0.2,0.1,0.4,0.6,0.5,0.4,0.2,0.7,2.24,1.39,1,0.9,0.16,0.4483584,
,(2) 碳资产管理,能源消耗占比分析,系统支持能源消耗占比分析，以确定主要能源消耗对碳排放的影响。,0.3,0.3,0.2,0.1,0.3,0.5,0.4,0.3,0.2,0.7,1.82,1.39,1,0.9,0.16,0.3642912,
,(2) 碳资产管理,碳排放结构趋势分析,系统支持碳排放结构趋势分析，分析碳排放随时间的变化趋势，同时考虑工业增加值，以评估碳排放与经济效益的关系。,0.6,0.6,0.3,0.2,0.6,1,0.8,0.6,0.3,0.7,3.5,1.39,1,0.9,0.16,0.70056,
,(2) 碳资产管理,碳排放排名对比分析,系统提供碳排放情况进行排名及对比分析功能，系统支持以时间、能耗种类、地区、人均碳排放、产能碳排放等多个维度，对各部门的碳排放情况进行详细的排名及对比分析。,0.7,0.7,0.4,0.2,0.7,1.2,1,0.7,0.4,0.7,4.2,1.39,1,0.9,0.16,0.840672,
,(3) 双碳预测,碳达峰碳中和计划填报,系统提供碳达峰碳中和计划填报功能，支持碳达峰碳中和历史计划查询、碳达峰碳中和计划修改碳达峰碳中和计划曲线，用户可以随时查看和追溯过去的减排计划和实施情况。,0.8,1,0.6,0.4,0.8,1.8,1.2,0.8,0.5,0.7,5.53,1.39,1,0.9,0.16,1.1068848,
,(3) 双碳预测,碳达峰碳中和计划修改,系统支持碳达峰碳中和计划的修改功能。,0.3,0.3,0.2,0.1,0.3,0.4,0.3,0.3,0.2,0.7,1.68,1.39,1,0.9,0.16,0.3362688,
,(3) 双碳预测,碳市场行情分析,系统提供碳市场的行情及走势分析功能，包括相关咨询、碳开盘价、最高价、最低价、成交均价等。,0.8,1,0.6,0.3,0.8,1.5,1,0.8,0.4,0.7,5.04,1.39,1,0.9,0.16,1.0088064,
,(3) 双碳预测,碳排放预测,系统提供碳排放预测功能，能够根据国家政策、行业发展、发展规划，以碳排放数据、以及可能影响碳排放的各种因素，通过构建碳排预测模型，实现对未来的碳排放情况进行科学预测。,1.5,2,0.8,0.6,1.5,3,1.5,1.5,0.8,0.7,9.24,1.39,1,0.9,0.16,1.8494784,
,(4) 碳减排项目管理,减排项目信息维护,系统提供碳减排项目管理功能，对减排项目基础信息进行维护。,0.5,0.5,0.3,0.2,0.5,0.8,0.6,0.5,0.3,0.7,2.94,1.39,1,0.9,0.16,0.5884704,
,(4) 碳减排项目管理,减排项目查询,系统提供对碳减排项目进行多维度查询功能，以列表形式展示园区的减排项目或资产信息，可通过填报时间范围、项目或资产名称、技术类型对列表信息进行查询。,0.5,0.6,0.3,0.2,0.5,1,0.8,0.5,0.3,0.7,3.29,1.39,1,0.9,0.16,0.6585264,
,(4) 碳减排项目管理,减排项目报表统计,系统提供碳减排项目报表统计功能，包括碳减排项目总数统计、预估/实际投资金额统计、预估碳减排量统计、碳减排项目列表统计等。,0.5,0.6,0.4,0.2,0.5,1.2,0.8,0.5,0.4,0.7,3.57,1.39,1,0.9,0.16,0.7145712,
,(5) 国际碳合规管理,国际合规数据管理,系统提供国际合规数据管理功能，通过搭建国际合规数据库，抓取系统中关键能耗信息，与国际合规数据库进行匹配，找出对应的数据及因子，了解和掌握国际合规标准。,1.2,1.5,0.6,0.8,1.2,2,1,1.2,0.6,0.7,7.07,1.39,1,0.9,0.16,1.4151312,
,(5) 国际碳合规管理,国际合规规则管理,系统提供国际合规规则管理功能，能够基于CBAM（碳边境调节机制）等国际双碳规则，在系统中搭建了国际合规规则体系。,1.2,2,0.6,0.6,1.2,2.5,1,1.2,0.6,0.7,7.63,1.39,1,0.9,0.16,1.5272208,
,(5) 国际碳合规管理,国际合规报告生成,系统提供国际合规报告生成功能，通过选择国际规则，并根据规则出具对应的国际合规报告。,0.8,1,0.5,0.3,0.8,1.5,0.8,0.8,0.4,0.7,4.83,1.39,1,0.9,0.16,0.9667728,
,(6) 碳盘查管理,电能管理与数据分析,系统提供电能管理与数据分析功能，具体包括获取电表基础信息、实时获取电表计量数据、查询并管理园区基础信息、定期获取并分析园区用电数据、监控发电信息以及实时获取并处理发电数据等功能。,1.5,2,0.8,0.8,1.5,3,1.5,1.5,0.8,0.7,9.38,1.39,1,0.9,0.16,1.8775008,
,(6) 碳盘查管理,电量信息监控,系统提供电量信息监控功能，汇总展示监测数据并与核算数据进行对比分析。,0.6,0.8,0.4,0.3,0.6,1.2,0.8,0.6,0.4,0.7,3.99,1.39,1,0.9,0.16,0.7986384,
,(6) 碳盘查管理,用水数据自动采集,系统提供用水数据自动采集功能，通过对接用水采集装置，实现实时获取用水数据的功能。,1,1.5,0.5,0.5,1,2,0.8,1,0.5,0.7,6.16,1.39,1,0.9,0.16,1.2329856,
,(6) 碳盘查管理,用水数据填报录入,系统提供用水数据填报录入功能，支持对用水数据进行增、删、改、查等多时间维度填报功能，并对填报的数据进行自动汇总和分析。,0.6,0.8,0.4,0.3,0.6,1.2,0.8,0.6,0.4,0.7,3.99,1.39,1,0.9,0.16,0.7986384,
,(6) 碳盘查管理,用气数据自动采集,系统提供用气数据自动采集功能，支持对接用气采集装置，实现实时获取用气数据的功能。,1,1.5,0.5,0.5,1,2,0.8,1,0.5,0.7,6.16,1.39,1,0.9,0.16,1.2329856,
,(6) 碳盘查管理,用气数据填报录入,系统提供用气数据填报录入功能，支持对用气数据进行增、删、改、查等多时间维度填报功能，并对填报的用气数据进行自动汇总和分析。,0.6,0.8,0.4,0.3,0.6,1.2,0.8,0.6,0.4,0.7,3.99,1.39,1,0.9,0.16,0.7986384,
,(6) 碳盘查管理,用油数据填报录入,系统提供用油数据填报录入功能，支持对用油数据进行增、删、改、查等多时间维度填报功能，并对数据进行汇总分析展示。,0.6,0.8,0.4,0.3,0.6,1.2,0.8,0.6,0.4,0.7,3.99,1.39,1,0.9,0.16,0.7986384,
,(6) 碳盘查管理,能耗数据展示,系统提供以列表形式展示能耗数据情况功能，支持对数据进行不同维度的筛选和导出。,0.5,0.6,0.3,0.2,0.5,0.8,0.6,0.5,0.3,0.7,3.01,1.39,1,0.9,0.16,0.6024816,
,(7) 能源负荷感知,能耗数据统计分析,系统提供以日、月、年等多时间维度对能耗数据进行统计分析功能，展示各部门各类能耗排名，展示园区管理自身能源消耗情况。,0.8,1,0.5,0.4,0.8,1.5,1,0.8,0.5,0.7,5.11,1.39,1,0.9,0.16,1.0228176,
,(7) 能源负荷感知,能耗数据预测,系统提供基于历史数据对园区能耗数据进行统计分析及预测功能，并给出能耗优化措施及建议。,1,1.2,0.6,0.5,1,2,1.2,1,0.6,0.7,6.37,1.39,1,0.9,0.16,1.2750192,
,(7) 能源负荷感知,能源消耗排名对比,系统提供以时间、能耗种类、地区、单位能耗等维度对各部门能源消耗进行排名及对比分析功能。,0.7,0.8,0.4,0.3,0.7,1.2,0.8,0.7,0.4,0.7,4.2,1.39,1,0.9,0.16,0.840672,
合计,,,,27.6,34,16.9,11.6,26.5,53.8,33.4,27.3,,,,,,,,34.54 ,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
